timestamp,duration_minutes,reason
2024-01-01 02:00:00,86,Sensor_Calibration
2024-01-01 03:00:00,117,Cooling_System_Check
2024-01-01 06:00:00,101,Cooling_System_Check
2024-01-01 08:00:00,114,Sensor_Calibration
2024-01-01 10:00:00,67,Sensor_Calibration
2024-01-01 12:00:00,44,Sensor_Calibration
2024-01-01 23:00:00,103,Sensor_Calibration
2024-01-02 01:00:00,56,Sensor_Calibration
2024-01-02 07:00:00,29,Cooling_System_Check
2024-01-02 10:00:00,61,Sensor_Calibration
2024-01-02 11:00:00,69,Sensor_Calibration
2024-01-02 12:00:00,17,Sensor_Calibration
2024-01-02 15:00:00,21,Sensor_Calibration
2024-01-02 18:00:00,74,Sensor_Calibration
2024-01-02 23:00:00,23,Cooling_System_Check
2024-01-03 05:00:00,58,Sensor_Calibration
2024-01-03 06:00:00,61,Cooling_System_Check
2024-01-03 11:00:00,20,Sensor_Calibration
2024-01-03 16:00:00,107,Sensor_Calibration
2024-01-03 17:00:00,104,Cooling_System_Check
2024-01-03 19:00:00,88,Cooling_System_Check
2024-01-03 20:00:00,28,Sensor_Calibration
2024-01-03 22:00:00,29,Sensor_Calibration
2024-01-04 10:00:00,40,Cooling_System_Check
2024-01-04 11:00:00,74,Sensor_Calibration
2024-01-04 14:00:00,55,Sensor_Calibration
2024-01-04 19:00:00,15,Sensor_Calibration
2024-01-05 02:00:00,95,Sensor_Calibration
2024-01-05 06:00:00,49,Sensor_Calibration
2024-01-05 08:00:00,19,Sensor_Calibration
2024-01-05 09:00:00,55,Sensor_Calibration
2024-01-05 10:00:00,87,Cooling_System_Check
2024-01-05 11:00:00,48,Sensor_Calibration
2024-01-05 16:00:00,51,Sensor_Calibration
2024-01-05 17:00:00,118,Cooling_System_Check
2024-01-05 20:00:00,113,Sensor_Calibration
2024-01-05 23:00:00,15,Sensor_Calibration
2024-01-06 00:00:00,28,Sensor_Calibration
2024-01-06 01:00:00,23,Sensor_Calibration
2024-01-06 02:00:00,104,Cooling_System_Check
2024-01-06 11:00:00,66,Sensor_Calibration
2024-01-06 12:00:00,18,Sensor_Calibration
2024-01-06 13:00:00,37,Sensor_Calibration
2024-01-06 15:00:00,29,Cooling_System_Check
2024-01-06 16:00:00,50,Sensor_Calibration
2024-01-06 18:00:00,85,Sensor_Calibration
2024-01-06 23:00:00,59,Sensor_Calibration
2024-01-07 04:00:00,58,Sensor_Calibration
2024-01-07 05:00:00,76,Sensor_Calibration
2024-01-07 06:00:00,106,Sensor_Calibration
2024-01-07 09:00:00,15,Sensor_Calibration
2024-01-07 11:00:00,91,Sensor_Calibration
2024-01-07 12:00:00,117,Cooling_System_Check
2024-01-07 15:00:00,76,Sensor_Calibration
2024-01-07 21:00:00,46,Sensor_Calibration
2024-01-07 22:00:00,119,Sensor_Calibration
2024-01-07 23:00:00,76,Cooling_System_Check
2024-01-08 05:00:00,66,Sensor_Calibration
2024-01-08 07:00:00,17,Sensor_Calibration
2024-01-08 12:00:00,16,Sensor_Calibration
2024-01-08 13:00:00,101,Sensor_Calibration
2024-01-08 17:00:00,33,Sensor_Calibration
2024-01-08 18:00:00,67,Sensor_Calibration
2024-01-08 23:00:00,46,Sensor_Calibration
2024-01-09 00:00:00,82,Sensor_Calibration
